answer , 1.2822814351293822e-05 
Lady , 0.0006539635319159849 
Catelyn , 0.0005257353884030468 
Stark , 0.001628497422614315x3 
question , 0.07342343497550842 
Who , 0.03331367168466135 
is , 0.017156925602031133 
Arya , 0.007552637652912061 
Stark's , 0.00021798784397199496 
wife? , 0.00014105095786423204 
answer , 0.07344908060421101 
House , 0.001077116405508681 
Lannister , 0.001372041135588439 
escaped , 2.5645628702587643e-05 
the , 0.048342010104377706 
persecution , 1.2822814351293822e-05 
of , 0.02143974559536327 
Stark? , 0.00044879850229528374 
Faceless , 0.00012822814351293822 
Man , 0.00012822814351293822 
What , 0.028941091990870155 
trained , 5.129125740517529e-05 
as , 0.0032185264021747494 
at , 0.0024748031697997075 
Black , 0.0007437232323750417 
and , 0.014912933090554715 
White , 0.0007180776036724541 
in , 0.007706511425127587 
Braavos? , 0.00010258251481035057 
was , 0.005462518913651168 
faceless , 1.2822814351293822e-05 
man , 0.0005513810171056344 
Frey , 0.00019234221526940733 
male , 2.5645628702587643e-05 
line , 7.693688610776293e-05 
does , 0.021042238350473162 
exterminate , 1.2822814351293822e-05 
after , 0.0013463955068858512 
returning , 8.975970045905676e-05 
to , 0.02868463570384428 
Westeros? , 0.0003462159874849332 
Jon , 0.009142666632472495 
Snow, , 2.5645628702587643e-05 
King , 0.0016156746082630217 
half-brother , 0.00010258251481035057 
Arya's , 0.0009873567050496244 
half-brother? , 0.0001666965865668197 
Winterfell , 0.0014618008360474956 
Where , 0.00533429077013823 
did , 0.011732875131433847 
return , 0.0006539635319159849 
to? , 0.002102941553612187 
Petyr , 0.0007437232323750417 
Baelish , 0.0007437232323750417 
manipulated , 1.2822814351293822e-05 
executed , 0.00017951940091811351 
for , 0.004667504423870952 
his , 0.0063729387325930295 
crimes , 8.975970045905676e-05 
against , 0.0007309004180237478 
whom? , 3.846844305388146e-05 
Battle , 0.0006667863462672788 
When , 0.0009232426332931552 
kill , 0.0010514707768060935 
Night , 0.0006796091606185726 
King? , 0.0002949247300797579 
Sandor , 0.0006539635319159849 
Clegane , 0.0002949247300797579 
killed , 0.0006667863462672788 
Cersei , 0.006296001846485266 
Lannister? , 0.00020516502962070115 
Daenerys , 0.009886389864847536 
Targaryen , 0.0011027620342112688 
destroys , 1.2822814351293822e-05 
King's , 0.0017695483804785475 
Landing? , 0.0005642038314569281 
convinces , 7.693688610776293e-05 
abandon , 3.846844305388146e-05 
her , 0.009719693278280718 
quest , 2.5645628702587643e-05 
vengeance? , 1.2822814351293822e-05 
younger , 0.00017951940091811351 
brother , 0.00047444413099787143 
Bran , 0.002731259456825584 
chosen , 2.5645628702587643e-05 
king , 0.00020516502962070115 
decides , 7.693688610776293e-05 
leave , 0.000795014489780217 
Westeros , 0.0002949247300797579 
sail , 8.975970045905676e-05 
west , 8.975970045905676e-05 
discover , 0.00010258251481035057 
what , 0.0012694586207780884 
lies , 6.411407175646911e-05 
beyond , 0.00019234221526940733 
where , 0.0003333931731336394 
maps , 1.2822814351293822e-05 
known , 7.693688610776293e-05 
world , 0.00026927910137717026 
end. , 1.2822814351293822e-05 
decide , 0.0003205703587823455 
bidding , 1.2822814351293822e-05 
farewell , 0.00012822814351293822 
siblings? , 3.846844305388146e-05 
youngest , 2.5645628702587643e-05 
daughter , 0.00015387377221552585 
Lord , 0.0013335726925345576 
Ned , 0.000577026645808222 
are , 0.0024619803554484137 
daughters? , 1.2822814351293822e-05 
born , 0.00019234221526940733 
raised? , 5.129125740517529e-05 
Snow , 0.0006283179032133973 
bastard , 0.00025645628702587644 
Sansa , 0.006821737234888313 
older , 8.975970045905676e-05 
sister? , 0.00026927910137717026 
rejects , 6.411407175646911e-05 
notion , 3.846844305388146e-05 
that , 0.006616572205267612 
she , 0.004821378196086477 
must , 0.0003205703587823455 
become , 0.0004103300592414023 
a , 0.009104198189418614 
lady , 2.5645628702587643e-05 
marry , 0.00037186161618752084 
influence , 3.846844305388146e-05 
power? , 6.411407175646911e-05 
forge , 2.5645628702587643e-05 
own , 0.0005513810171056344 
destiny , 1.2822814351293822e-05 
believe , 0.0010386479624547996 
can , 0.000795014489780217 
do? , 0.0007693688610776293 
embroidery , 1.2822814351293822e-05 
bored , 1.2822814351293822e-05 
by? , 0.00017951940091811351 
father , 0.0006796091606185726 
take , 0.0009873567050496244 
after? , 1.2822814351293822e-05 
close , 7.693688610776293e-05 
Septa , 7.693688610776293e-05 
Mordane , 6.411407175646911e-05 
taught , 8.975970045905676e-05 
how , 0.0006283179032133973 
sew? , 1.2822814351293822e-05 
archery , 5.129125740517529e-05 
Bran, , 6.411407175646911e-05 
Jon, , 0.0001666965865668197 
Robb , 0.0007309004180237478 
practice , 8.975970045905676e-05 
courtyard , 0.00010258251481035057 
with , 0.004590567537763188 
their , 0.0024619803554484137 
father? , 0.00044879850229528374 
out-shooting , 1.2822814351293822e-05 
him , 0.001961890595747955 
How , 0.002141409996666068 
annoy , 1.2822814351293822e-05 
Bran? , 0.0004103300592414023 
laughs , 1.2822814351293822e-05 
antics , 1.2822814351293822e-05 
chase , 1.2822814351293822e-05 
family , 0.0006154950888621034 
chases? , 1.2822814351293822e-05 
Robert , 0.0006924319749698664 
visit? , 7.693688610776293e-05 
scolded , 1.2822814351293822e-05 
happens , 0.0007180776036724541 
when , 0.0026286769420152335 
joins , 5.129125740517529e-05 
receiving , 2.5645628702587643e-05 
courtyard? , 1.2822814351293822e-05 
Queen , 0.0005385582027543405 
overheards , 1.2822814351293822e-05 
asks , 0.0007309004180237478 
Imp , 2.5645628702587643e-05 
